Activity type;Duration;From;To;Comment
Read;0,2;19 Dec 17:01;19 Dec 17:11;
Entertainment;0,6;19 Dec 16:26;19 Dec 16:59;
Read;0,2;19 Dec 16:14;19 Dec 16:26;
Housework;0,4;19 Dec 15:33;19 Dec 15:59;
Internet;0,2;19 Dec 15:03;19 Dec 15:18;
Work;0,0;19 Dec 14:43;19 Dec 14:45;
Sport;0,9;19 Dec 13:41;19 Dec 14:35;
Entertainment;1,6;19 Dec 12:02;19 Dec 13:40;
Entertainment;0,0;19 Dec 12:02;19 Dec 12:02;
Coding;0,6;19 Dec 11:10;19 Dec 11:44;
Sport;2,6;19 Dec 08:23;19 Dec 11:02;
Yoga;0,2;19 Dec 07:33;19 Dec 07:46;
Read;1,6;19 Dec 03:57;19 Dec 05:31;
Read;0,5;18 Dec 22:50;18 Dec 23:21;
Work;1,9;18 Dec 13:37;18 Dec 15:30;
Read;0,1;18 Dec 13:16;18 Dec 13:24;
Housework;0,4;18 Dec 12:43;18 Dec 13:05;
Entertainment;0,7;18 Dec 11:59;18 Dec 12:43;
Coding;0,9;18 Dec 11:04;18 Dec 11:59;
Yoga;0,2;18 Dec 10:48;18 Dec 10:58;
Entertainment;0,4;18 Dec 10:19;18 Dec 10:45;
Sport;1,5;18 Dec 08:47;18 Dec 10:19;
Coding;0,0;18 Dec 08:47;18 Dec 08:47;
Sport;0,0;18 Dec 08:46;18 Dec 08:47;
Coding;0,4;18 Dec 08:23;18 Dec 08:46;
Work;0,0;18 Dec 08:16;18 Dec 08:16;
Activity type;Duration;Percent
Sport;78,4;24,0
Work;72,4;22,2
Entertainment;70,6;21,6
Housework;42,6;13,1
Coding;19,4;5,9
Read;15,6;4,8
Yoga;10,2;3,1
Walking;9,0;2,7
Music;5,6;1,7
Internet;2,9;0,9
Total;326,6
